city,year,weekofyear,total_cases
iq,2010,35,9
iq,2010,36,3
iq,2010,37,9
iq,2010,38,9
iq,2010,39,9
iq,2010,40,9
iq,2010,41,9
iq,2010,42,12
iq,2010,43,6
iq,2010,44,6
iq,2010,45,8
iq,2010,46,12
iq,2010,47,12
iq,2010,48,6
iq,2010,49,7
iq,2010,50,8
iq,2010,51,9
iq,2011,52,7
iq,2011,1,9
iq,2011,2,9
iq,2011,3,7
iq,2011,4,3
iq,2011,5,9
iq,2011,6,7
iq,2011,7,12
iq,2011,8,12
iq,2011,9,12
iq,2011,10,7
iq,2011,11,7
iq,2011,12,12
iq,2011,13,7
iq,2011,14,12
iq,2011,15,7
iq,2011,16,7
iq,2011,17,6
iq,2011,18,12
iq,2011,19,3
iq,2011,20,3
iq,2011,21,7
iq,2011,22,3
iq,2011,23,3
iq,2011,24,3
iq,2011,25,3
iq,2011,26,3
iq,2011,27,3
iq,2011,28,3
iq,2011,29,3
iq,2011,30,3
iq,2011,31,3
iq,2011,32,3
iq,2011,33,3
iq,2011,34,3
iq,2011,35,3
iq,2011,36,3
iq,2011,37,3
iq,2011,38,3
iq,2011,39,7
iq,2011,40,3
iq,2011,41,12
iq,2011,42,6
iq,2011,43,7
iq,2011,44,9
iq,2011,45,8
iq,2011,46,12
iq,2011,47,12
iq,2011,48,6
iq,2011,49,6
iq,2011,50,7
iq,2011,51,26
iq,2012,52,6
iq,2012,1,21
iq,2012,2,12
iq,2012,3,7
iq,2012,4,3
iq,2012,5,7
iq,2012,6,7
iq,2012,7,7
iq,2012,8,9
iq,2012,9,3
iq,2012,10,7
iq,2012,11,3
iq,2012,12,3
iq,2012,13,12
iq,2012,14,9
iq,2012,15,6
iq,2012,16,11
iq,2012,17,12
iq,2012,18,12
iq,2012,19,3
iq,2012,20,7
iq,2012,21,3
iq,2012,22,3
iq,2012,23,3
iq,2012,24,3
iq,2012,25,3
iq,2012,26,3
iq,2012,27,3
iq,2012,28,3
iq,2012,29,3
iq,2012,30,3
iq,2012,31,3
iq,2012,32,3
iq,2012,33,3
iq,2012,34,3
iq,2012,35,3
iq,2012,36,3
iq,2012,37,9
iq,2012,38,3
iq,2012,39,9
iq,2012,40,3
iq,2012,41,21
iq,2012,42,9
iq,2012,43,12
iq,2012,44,8
iq,2012,45,8
iq,2012,46,11
iq,2012,47,7
iq,2012,48,6
iq,2012,49,6
iq,2012,50,12
iq,2012,51,6
iq,2013,1,6
iq,2013,2,3
iq,2013,3,4
iq,2013,4,11
iq,2013,5,4
iq,2013,6,6
iq,2013,7,26
iq,2013,8,7
iq,2013,9,12
iq,2013,10,26
iq,2013,11,6
iq,2013,12,11
iq,2013,13,6
iq,2013,14,6
iq,2013,15,12
iq,2013,16,6
iq,2013,17,7
iq,2013,18,3
iq,2013,19,6
iq,2013,20,8
iq,2013,21,7
iq,2013,22,3
iq,2013,23,7
iq,2013,24,3
iq,2013,25,3
iq,2013,26,3
